gap,name,status,width_cm,step_cm,walk_round_cm,x,z,room,between,and,objects_forming_gap,objects_in_the_way,pinches,key
1,,warp,45.209,62.27,none found,-14223,463,0x35,wall of tile 0B6228 (room 0x35),generic 0x1c4f20 (preset 0x278c),0x1c4f20,,2,0B6228.2 | 0x1c4f20.4
2,,warp,4.708,78.14,none found,-7848,-161,0x1c,wall of tile 08EC19 (room 0x1c),door 0x1cb0ec (preset 0x004c),0x1cb0ec,,2,08EC19.0 | 0x1cb0ec.0
3,,warp,0.00034,79.23,none found,-12204,-273,0x2d,wall of tile 035B22 (room 0x2d),door 0x1cc54c (preset 0x006e),0x1cc54c,,3,035B22.1 | 0x1cc54c.1
4,,warp,0.00034,79.23,none found,-12204,-120,0x2d,wall of tile 035D22 (room 0x2d),door 0x1cc65c (preset 0x006f),0x1cc65c,,4,035D22.2 | 0x1cc65c.1
5,,warp,7.386,79.87,none found,-7261,-228,0x17,wall of tile 0E3311 (room 0x17),door 0x1cafec (preset 0x0042),0x1cafec,,2,0E3311.0 | 0x1cafec.2
6,,warp,5.539,80.28,none found,-10365,-157,0x26,wall of tile 0AF31A (room 0x26),door 0x1cbb0c (preset 0x0056),0x1cbb0c,,2,0AF31A.1 | 0x1cbb0c.4
7,,warp,0.00022,82.47,none found,-6305,-253,0x19,wall of tile 09DE10 (room 0x19),door 0x1cabdc (preset 0x003e),0x1cabdc,,3,09DE10.2 | 0x1cabdc.0
8,,warp,0.00028,82.47,none found,-6565,-253,0x18,wall of tile 0A3B10 (room 0x18),door 0x1cacdc (preset 0x003f),0x1cacdc,,3,0A3B10.2 | 0x1cacdc.0
9,,warp,0.00034,82.47,none found,-6824,-253,0x18,wall of tile 0A4310 (room 0x18),door 0x1caddc (preset 0x0040),0x1caddc,,3,0A4310.2 | 0x1caddc.0
10,,warp,0.00053,82.47,none found,-5526,-253,0x1a,wall of tile 098010 (room 0x1a),door 0x1ca8cc (preset 0x003b),0x1ca8cc,,3,098010.2 | 0x1ca8cc.0
11,,warp,0.00010,82.47,none found,-5786,-253,0x19,wall of tile 09EE10 (room 0x19),door 0x1ca9cc (preset 0x003c),0x1ca9cc,,3,09EE10.2 | 0x1ca9cc.0
12,,warp,0.00016,82.47,none found,-6045,-253,0x19,wall of tile 09E610 (room 0x19),door 0x1caacc (preset 0x003d),0x1caacc,,3,09E610.2 | 0x1caacc.0
13,,warp,0.000084,83.21,none found,-9581,-133,0x23,wall of tile 0B8319 (room 0x23),door 0x1cb80c (preset 0x0053),0x1cb80c,,3,0B8319.1 | 0x1cb80c.2
14,,warp,4.707,83.36,none found,-4676,-155,0x0d,wall of tile 0A7F11 (room 0x0d),door 0x1c9eac (preset 0x0038),0x1c9eac,,2,0A7F11.0 | 0x1c9eac.4
15,,warp,0.00027,83.48,none found,-6997,-253,0x18,wall of tile 0A4510 (room 0x18),door 0x1caeec (preset 0x0041),0x1caeec,,3,0A4510.2 | 0x1caeec.4
16,,warp,0.00041,83.48,none found,-5007,-253,0x1a,wall of tile 099010 (room 0x1a),door 0x1ca6bc (preset 0x0039),0x1ca6bc,,3,099010.2 | 0x1ca6bc.0
17,,warp,0.00047,83.48,none found,-5266,-253,0x1a,wall of tile 098810 (room 0x1a),door 0x1ca7bc (preset 0x003a),0x1ca7bc,,3,098810.2 | 0x1ca7bc.0
18,,warp,0.000079,83.48,none found,-5699,-253,0x19,wall of tile 09E810 (room 0x19),door 0x1ca9cc (preset 0x003c),0x1ca9cc,,3,09E810.2 | 0x1ca9cc.4
19,,warp,0.00096,83.99,none found,-9148,-133,0x28,wall of tile 0BCD18 (room 0x28),door 0x1cb5fc (preset 0x0051),0x1cb5fc,,3,0BCD18.2 | 0x1cb5fc.1
20,,warp,0.00065,83.99,none found,-9927,-133,0x27,wall of tile 0B6F18 (room 0x27),door 0x1cb90c (preset 0x0054),0x1cb90c,,3,0B6F18.2 | 0x1cb90c.1
