object,type,reason
0x1c2978,weapon,Bond walks through it
0x1c2a10,weapon,Bond walks through it
0x1c2aa8,weapon,Bond walks through it
0x1c2b40,weapon,Bond walks through it
0x1c2bd8,weapon,Bond walks through it
0x1c2c70,weapon,Bond walks through it
0x1c2d08,weapon,Bond walks through it
0x1c2da0,weapon,Bond walks through it
0x1c2e38,weapon,Bond walks through it
0x1c2ed0,weapon,Bond walks through it
0x1c2f68,weapon,Bond walks through it
0x1c3000,weapon,Bond walks through it
0x1c3098,weapon,Bond walks through it
0x1c3130,weapon,Bond walks through it
0x1c31c8,weapon,Bond walks through it
0x1c3260,weapon,Bond walks through it
0x1c32f8,weapon,Bond walks through it
0x1cd26c,lock,Bond walks through it
0x1cd2fc,lock,Bond walks through it
0x1cd38c,lock,Bond walks through it
0x1cd41c,lock,Bond walks through it
0x1cd4ac,lock,Bond walks through it
0x1cd53c,lock,Bond walks through it
0x1cd5cc,lock,Bond walks through it
0x1cd65c,lock,Bond walks through it
0x1cd6ec,lock,Bond walks through it
0x1cd77c,lock,Bond walks through it
0x1cd80c,lock,Bond walks through it
0x1cd89c,lock,Bond walks through it
0x1cd92c,lock,Bond walks through it
0x1cd9bc,lock,Bond walks through it
0x1cda4c,lock,Bond walks through it
0x1cdadc,lock,Bond walks through it
0x1cdb6c,lock,Bond walks through it
0x1cdbfc,lock,Bond walks through it
0x1cdc8c,lock,Bond walks through it
0x1cdd1c,lock,Bond walks through it
0x1cc76c,door,no collision outline in the data
0x1cc87c,door,no collision outline in the data
0x1cc98c,door,no collision outline in the data
0x1cca9c,door,no collision outline in the data
0x1ccbac,door,no collision outline in the data
0x1cccbc,door,no collision outline in the data
0x1ccdcc,door,no collision outline in the data
0x1ccedc,door,no collision outline in the data
0x1ccfec,door,no collision outline in the data
0x1cd1ec,generic,no collision outline in the data
0x1cd27c,generic,no collision outline in the data
0x1cd30c,generic,no collision outline in the data
0x1cd39c,generic,no collision outline in the data
0x1cd42c,generic,no collision outline in the data
0x1cd4bc,generic,no collision outline in the data
0x1cd54c,generic,no collision outline in the data
0x1cd5dc,generic,no collision outline in the data
0x1cd66c,generic,no collision outline in the data
0x1cd6fc,generic,no collision outline in the data
0x1cd78c,generic,no collision outline in the data
0x1cd81c,generic,no collision outline in the data
0x1cd8ac,generic,no collision outline in the data
0x1cd93c,generic,no collision outline in the data
0x1cd9cc,generic,no collision outline in the data
0x1cda5c,generic,no collision outline in the data
0x1cdaec,generic,no collision outline in the data
0x1cdb7c,generic,no collision outline in the data
0x1cdc0c,generic,no collision outline in the data
0x1cdc9c,generic,no collision outline in the data
0x1cdd3c,monitor,no collision outline in the data
0x1cde4c,generic,no collision outline in the data
0x1cdecc,glass,no collision outline in the data
0x1cdf4c,glass,no collision outline in the data
0x1cdfcc,glass,no collision outline in the data
0x1ce04c,glass,no collision outline in the data
0x1ce0cc,glass,no collision outline in the data
0x1ce14c,glass,no collision outline in the data
0x1ce1cc,glass,no collision outline in the data
0x1ce24c,glass,no collision outline in the data
0x1ce2cc,glass,no collision outline in the data
0x1ce34c,glass,no collision outline in the data
0x1ce3cc,glass,no collision outline in the data
0x1ce44c,glass,no collision outline in the data
