x,z,between,and
-14974,-13,wall of tile 0E6D29 (room 0x35),door 0x1cd0ec (preset 0x00a7)
-16651,-260,wall of tile 06E12A (room 0x34),door 0x1cc43c (preset 0x009e)
-16665,-133,wall of tile 06E129 (room 0x34),door 0x1cc43c (preset 0x009e)
-16651,-133,wall of tile 06E129 (room 0x34),door 0x1cc43c (preset 0x009e)
-16659,-133,wall of tile 06E129 (room 0x34),door 0x1cc43c (preset 0x009e)
-14974,-100,wall of tile 073628 (room 0x33),door 0x1cd0ec (preset 0x00a7)
-14967,-246,wall of tile 06D029 (room 0x33),door 0x1cc23c (preset 0x009c)
-14954,-246,wall of tile 06CB29 (room 0x32),door 0x1cc23c (preset 0x009c)
-13815,-133,wall of tile 06BA29 (room 0x31),door 0x1ca5ac (preset 0x00a8)
-13815,-260,wall of tile 06BA2A (room 0x31),door 0x1ca5ac (preset 0x00a8)
-13695,-260,wall of tile 039E22 (room 0x30),door 0x1ca4ac (preset 0x0071)
-13809,-260,wall of tile 039E22 (room 0x30),door 0x1ca5ac (preset 0x00a8)
-13695,-133,wall of tile 039E21 (room 0x30),door 0x1ca4ac (preset 0x0071)
-13809,-133,wall of tile 039E21 (room 0x30),door 0x1ca5ac (preset 0x00a8)
-13689,-133,wall of tile 033121 (room 0x2b),door 0x1ca4ac (preset 0x0071)
-13689,-260,wall of tile 033122 (room 0x2b),door 0x1ca4ac (preset 0x0071)
-13522,-226,wall of tile 033622 (room 0x2b),door 0x1cc12c (preset 0x006d)
-13519,-230,wall of tile 033E22 (room 0x2b),door 0x1cc12c (preset 0x006d)
-13456,-160,wall of tile 033E21 (room 0x2b),door 0x1cc12c (preset 0x006d)
-13456,-166,wall of tile 039A20 (room 0x2b),door 0x1cc12c (preset 0x006d)
-13169,-40,wall of tile 033D21 (room 0x2b),door 0x1cc01c (preset 0x006c)
-13163,-40,wall of tile 034321 (room 0x2c),door 0x1cc01c (preset 0x006c)
-12324,-146,wall of tile 031422 (room 0x2d),door 0x1cbf1c (preset 0x006b)
-12317,-146,wall of tile 035921 (room 0x2d),door 0x1cbf1c (preset 0x006b)
